id,title,for,against,abstain,status,voted
agenda1,Consent Agenda #1,201,8,0,Pass,24-April-2019
agenda2,Consent Agenda #2,213,4,1,Pass,24-April-2019
debate,Terminate Debate,164,55,0,Pass,24-April-2019
article16#substitute,Article 16 – Substitute Motion_x000B_Jon Gersh – Precinct 18,90,123,3,Fail,24-April-2019
article16#substitute,ARTICLE 16  ZONING BYLAW AMENDMENT/AFFORDABLE  HOUSING REQUIREMENTS ,208,10,1,Pass,24-April-2019
article14,ARTICLE 14 -ZONING BYLAW AMENDMENT/PARKING REDUCTION    APPLICABILITY ,181,34,2,Pass,24-April-2019
article15,ARTICLE 15  - ZONING BYLAW AMENDMENT/ACCESSORY DWELLING  UNITS,137,82,0,Fail,24-April-2019
article17,ARTICLE 17 - ZONING BYLAW AMENDMENT/SIGN REGULATIONS ,207,8,0,Pass,24-April-2019
article18,ARTICLE 18   -  ZONING BYLAW AMENDMENT/FLOODPLAIN DISTRICT ,214,2,0,Pass,24-April-2019
article19,ARTICLE 19 - ZONING BYLAW AMENDMENT/INLAND WETLAND DISTRICT ,210,1,1,Pass,24-April-2019
article21,ARTICLE 21 - ZONING BYLAW AMENDMENT/BICYCLE PARKING ,207,7,0,Pass,24-April-2019
article20,ARTICLE 20  - ZONING BYLAW AMENDMENT/REVIEW OF RELIGIOUS    AND EDUCATIONAL USES ,207,4,0,Pass,24-April-2019
article22,ARTICLE 22 -  ZONING BYLAW AMENDMENT/CORRECTING CITATION   ERRORS,203,1,0,Pass,1-May-2019
article24#amendment,Amendment – Article 24 – Christian Kline – Precinct 10,194,15,0,Pass,1-May-2019
article24,"ARTICLE 24 - ZONING BYLAW AMENDMENT/DEFINITON OF  STORY, HALF ",201,7,1,Pass,1-May-2019
article26,ARTICLE 26  - BYLAW AMENDMENT/BILLBOARDS AND SIGNS ,210,3,0,Pass,1-May-2019
article27#substitute,Article 27 – Substitute Motion Michael Brown – Precinct 17,26,178,2,Fail,1-May-2019
article28,ARTICLE 28 - BYLAW AMENDMENT/RECYCLING COMMITTEE  MEMBERSHIP AND MISSION ,208,4,0,Pass,1-May-2019
article29,ARTICLE 29  - BYLAW AMENDMENT/REGULATION OF POLYSTYRENE,192,3,0,Pass,1-May-2019
article32,ARTICLE 32 - BYLAW AMENDMENT/TREE PROTECTION  AND PRESERVATION ,203,1,0,Pass,1-May-2019
article31,ARTICLE 31    - BYLAW AMENDMENT/RENAME COMMUNITY     PRESERVATION COMMITTEE ,163,1,0,Pass,1-May-2019
article33,ARTICLE 33 -  BYLAW AMENDMENT/NOTICE OF DEMOLITION ,200,0,0,Pass,1-May-2019
article34#amendment,Amendment – Article 34 Gordon Jameson – Precinct 12,126,65,5,Pass,1-May-2019
article34#amendment,Article 34 – Amendment Christian Klein – Precinct 10,157,38,0,Pass,1-May-2019
article34,ARTICLE 34  -  BYLAW AMENDMENT/REGULATION OF OUTDOOR     LIGHTING – DARK SKIES BYLAW ,117,69,5,Pass,1-May-2019
article63,ARTICLE 63  -  APPROPRIATION/MINUTEMAN REGIONAL VOCATIONAL TECHNICAL HIGH SCHOOL AND OUT OF DISTRICT            VOCATIONAL PLACEMENTS ,209,0,1,Pass,6-May-2019
article57#amendments,Substitute Motion – Article 57_x000B_John Deyst – Precinct 13,29,175,2,Fail,6-May-2019
article57,ARTICLE 57 - APPROPRIATION/TOWN BUDGETS,207,2,0,Pass,6-May-2019
article57#amendments,Article 57 – Contingencies,198,11,0,Pass,6-May-2019
terminatedebate,Terminate Debate,150,57,4,Pass,8-May-2019
article58#amendment,Amendment – Article 58 Mustafa Varoglu – Precinct 10,20,189,0,Fail,8-May-2019
article58,ARTICLE 58   - CAPITAL BUDGET ,198,14,0,Pass,8-May-2019
article68#amendment,Amendment – Article 68 Beth Melofchik – Precinct 9,20,191,0,Fail,8-May-2019
article68,ARTICLE 68  - APPROPRIATION/COMMUNITY PRESERVATION FUND ,199,15,1,Pass,8-May-2019
article35,ARTICLE 35 - BYLAW AMENDMENT/SHORT-TERM RENTAL REGULATIONS ,202,10,1,Pass,8-May-2019
article50,ARTICLE 50 - LOCAL OPTION/SHORT TERM RENTAL IMPACT FEES ,202,12,0,Pass,8-May-2019
article36#amendment,Amendment  - Article 36 Christa Kelleher – Precinct 5,109,84,1,Pass,8-May-2019
article36#amendment,Amendment – Article 36_x000B_Christopher Moore – Precinct 14,152,47,2,Pass,8-May-2019
article36,ARTICLE 36 - VOTE/ELECTION MODERNIZATION STUDY GROUP ,188,9,1,Pass,8-May-2019
article37#debate,Article 37 - Terminate Debate,109,90,3,Fail,13-May-2019
article37,ARTICLE 37 -   VOTE/REMOVE POLICE CHIEF FROM CIVILSERVICE ,126,81,6,Pass,13-May-2019
article34#reconsider,Reconsider – Article 34,85,93,9,Fail,13-May-2019
article38,ARTICLE 38   - VOTE/SET SENIOR TAX DEFERRAL LIMIT ,207,2,1,Pass,13-May-2019
article39,ARTICLE 39 - VOTE/AUTHORIZATION TO DEACCESSION TOWN  PROPERTY-LIBRARY ART PRINTS ,186,7,3,Pass,13-May-2019
article40,ARTICLE 40 -  VOTE/ROBBINS LIBRARY PARKING COSTS ,125,52,8,Pass,13-May-2019
article40#substitute,Substitute Motion – Article 40_x000B_Andrew Fischer – Precinct 6,121,61,8,Pass,13-May-2019
article43,ARTICLE 43 -  HOME RULE LEGISLATION/MEANS-TESTED SENIOR  TAX RELIEF ,188,5,0,Pass,13-May-2019
article45,ARTICLE 45 - EXTENDING LOCAL VOTING RIGHTS TO ALL LEGAL PERMANENT ARLINGTON RESIDENTS ,131,51,5,Pass,13-May-2019
article47,ARTICLE 47  -  ACCEPTANCE OF LEGISLATION/PEG ACCESS FUND ,183,1,0,Pass,15-May-2019
article48,ARTICLE 48  - APPROPRIATION/PEG ACCESS BUDGET ,178,1,0,Pass,15-May-2019
article51,ARTICLE 51 - ENDORSEMENT OF CDBG APPLICATION ,175,0,0,Pass,15-May-2019
article52,ARTICLE 52 - REVOLVING FUNDS ,189,0,0,Pass,15-May-2019
article53,ARTICLE 53 - ENDORSEMENT OF PARKING BENEFIT DISTRICT EXPENDITURES ,185,3,0,Pass,15-May-2019
article56,ARTICLE 56 -  COLLECTIVE BARGAINING ,189,2,0,Pass,15-May-2019
article60,ARTICLE 60   -  APPROPRIATION/TRANSPORTATION                   INFRASTRUCTURE FUND ,188,4,0,Pass,15-May-2019
article64,ARTICLE 64   - APPROPRIATION/COMMITTEES AND COMMISSIONS ,187,2,1,Pass,15-May-2019
article65,ARTICLE 65  -  APPROPRIATION/TOWN CELEBRATIONS AND EVENTS ,187,4,0,Pass,15-May-2019
article72,ARTICLE 72 - APPROPRIATION/OVERLAY RESERVE ,193,0,0,Pass,15-May-2019
article75,ARTICLE 75  - APPROPRIATION/CANNABIS MITIGATION    STABILIZATION FUND ,185,2,0,Pass,15-May-2019
article77,ARTICLE 77    -  APPROPRIATION/FISCAL STABILITY STABILIZATION FUND ,190,1,0,Pass,15-May-2019
